organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	identificationRemarks	occurrenceID	materialSampleID
24626	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	urn:lsid:marinespecies.org:taxname:1506698	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MG837552,MZ042543,KT375517,KX467503,JN817330,MK052711,MK052708,MK052709,MT576825,MT576812, identities 100,100,100,100,100,100,100,100,99.6,99.6, taxonomy Bos_taurus,Bos_grunniens,Bos_taurus,Phascolosoma_esculenta,Bos_indicus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus, consensus Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus.	asv.5_EE0207	EE0207
22579	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontidae	Arothron	Arothron hispidus	urn:lsid:marinespecies.org:taxname:219925	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron_hispidus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AB742006,MG665357,AB742013,KT600993,AP019609,AB742005, identities 100,99.6,97.7,97.7,97.7,97.3, taxonomy Arothron_hispidus,Halichoeres_rubrovirens,Arothron_stellatus,Arothron_hispidus,Arothron_multilineatus,Arothron_firmamentum, consensus Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron.	asv.7_EE0207	EE0207
21573	present	Hugo Gante	eDNA expeditions citizen science sampling	113396	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0239	EE0239
19513	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Haemulidae	Haemulon	Haemulon maculicauda	urn:lsid:marinespecies.org:taxname:275729	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Haemulon;Haemulon_maculicauda, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ740976,JQ740971,HM778172,JQ740973,JQ741018,MF446569, identities 100,100,100,99.6,97.3,97.3, taxonomy Haemulon_maculicauda,Haemulon_flaviguttatum,Chaetodon_humeralis,Haemulon_maculicauda,Haemulon_steindachneri,Haemulon_boschmae, consensus Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Haemulon.	asv.8_EE0207	EE0207
18501	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Abudefduf	Abudefduf	urn:lsid:marinespecies.org:taxname:126044	genus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Abudefduf;Abudefduf_saxatilis, confidences 1;1;1;1;1;1;0.39. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OP035322,AF285942,AF112577,KF925347,FJ616398,NC_041192,AY365120,FJ616403,FJ616397,JF457202, identities 98.5,98.5,98.1,98.1,98.1,97.8,97.8,97.8,97.8,97.8, taxonomy Abudefduf_abdominalis,Abudefduf_saxatilis,Abudefduf_saxatilis,Abudefduf_saxatilis,Abudefduf_hoefleri,Abudefduf_bengalensis,Abudefduf_vaigiensis,Abudefduf_sexfasciatus,Abudefduf_bengalensis,Abudefduf_margariteus, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Abudefduf.	asv.10_EE0207	EE0207
18098	present	Hugo Gante	eDNA expeditions citizen science sampling	159414	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Carangaria incertae sedis	Centropomidae	Centropomus	Centropomus medius	urn:lsid:marinespecies.org:taxname:280061	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Centropomidae;Centropomus;Centropomus_medius, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits U85019,U85018, identities 100,97.1, taxonomy Centropomus_medius,Centropomus_pectinatus, consensus Eukaryota;Chordata;Actinopteri;Centropomidae;Centropomus.	asv.3_EE0240	EE0240
16126	present	Hugo Gante	eDNA expeditions citizen science sampling	246022	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Tylosurus	Tylosurus acus	urn:lsid:marinespecies.org:taxname:126378	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KU605633,AF231532,AF231529,AF231533, identities 100,100,99.2,98.5, taxonomy Tylosurus_acus,Tylosurus_pacificus,Tylosurus_acus,Tylosurus_acus, consensus Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus.	asv.6_EE0160	EE0160
15818	present	Hugo Gante	eDNA expeditions citizen science sampling	132190	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Tylosurus	Tylosurus acus	urn:lsid:marinespecies.org:taxname:126378	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KU605633,AF231532,AF231529,AF231533, identities 100,100,99.2,98.5, taxonomy Tylosurus_acus,Tylosurus_pacificus,Tylosurus_acus,Tylosurus_acus, consensus Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus.	asv.6_EE0238	EE0238
14237	present	Hugo Gante	eDNA expeditions citizen science sampling	121303	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0192	EE0192
12037	present	Hugo Gante	eDNA expeditions citizen science sampling	77374	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0237	EE0237
11912	present	Hugo Gante	eDNA expeditions citizen science sampling	212922	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	urn:lsid:marinespecies.org:taxname:1506698	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MG837552,MZ042543,KT375517,KX467503,JN817330,MK052711,MK052708,MK052709,MT576825,MT576812, identities 100,100,100,100,100,100,100,100,99.6,99.6, taxonomy Bos_taurus,Bos_grunniens,Bos_taurus,Phascolosoma_esculenta,Bos_indicus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus, consensus Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus.	asv.5_EE0208	EE0208
11740	present	Hugo Gante	eDNA expeditions citizen science sampling	153750	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	urn:lsid:marinespecies.org:taxname:1506698	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MG837552,MZ042543,KT375517,KX467503,JN817330,MK052711,MK052708,MK052709,MT576825,MT576812, identities 100,100,100,100,100,100,100,100,99.6,99.6, taxonomy Bos_taurus,Bos_grunniens,Bos_taurus,Phascolosoma_esculenta,Bos_indicus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus,Bos_taurus, consensus Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus.	asv.5_EE0209	EE0209
11158	present	Hugo Gante	eDNA expeditions citizen science sampling	246022	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus	urn:lsid:marinespecies.org:taxname:125908	genus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus_xanthopterus, confidences 1;1;1;1;1;0.99;0.64. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY057296,KT952600,AY057284,AY264595,OP035224,AY057285,AY264594,DQ898096,AY057292,AY057291, identities 100,99.6,98.5,98.5,98.5,98.1,98.1,98.1,97.7,97.3, taxonomy Acanthurus_xanthopterus,Acanthurus_gahhm,Acanthurus_mata,Acanthurus_dussumieri,Acanthurus_blochii,Acanthurus_mata,Acanthurus_blochii,Siganus_argenteus,Acanthurus_thompsoni,Acanthurus_thompsoni, consensus Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus.	asv.9_EE0160	EE0160
10396	present	Hugo Gante	eDNA expeditions citizen science sampling	246022	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontidae	Arothron	Arothron hispidus	urn:lsid:marinespecies.org:taxname:219925	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron_hispidus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AB742006,MG665357,AB742013,KT600993,AP019609,AB742005, identities 100,99.6,97.7,97.7,97.7,97.3, taxonomy Arothron_hispidus,Halichoeres_rubrovirens,Arothron_stellatus,Arothron_hispidus,Arothron_multilineatus,Arothron_firmamentum, consensus Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron.	asv.7_EE0160	EE0160
8381	present	Hugo Gante	eDNA expeditions citizen science sampling	153750	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Carangiformes	Carangidae	Alectis	Alectis ciliaris	urn:lsid:marinespecies.org:taxname:159629	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Alectis;Alectis_ciliaris, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_025566, identities 100, taxonomy Alectis_ciliaris, consensus Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Alectis;Alectis_ciliaris.	asv.18_EE0209	EE0209
8242	present	Hugo Gante	eDNA expeditions citizen science sampling	159414	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Acanthuriformes	Ephippidae	Chaetodipterus	Chaetodipterus faber	urn:lsid:marinespecies.org:taxname:159703	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Ephippiformes;Ephippidae;Chaetodipterus;Chaetodipterus_faber, confidences 1;1;1;1;1;0.96;0.96. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF055617, identities 98.1, taxonomy Chaetodipterus_faber, consensus Eukaryota;Chordata;Actinopteri;Ephippiformes;Ephippidae;Chaetodipterus;Chaetodipterus_faber.	asv.20_EE0240	EE0240
8056	present	Hugo Gante	eDNA expeditions citizen science sampling	153750	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Actinopteri	urn:lsid:marinespecies.org:taxname:843664	superclass	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Eugerres;Eugerres_brasilianus, confidences 1;1;1;0.34;0.34;0.24;0.2. No VSEARCH hits at 0.97 identity.	asv.14_EE0209	EE0209
8041	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Chromis	Chromis atrilobata	urn:lsid:marinespecies.org:taxname:273712	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EF489729,EF489730,EF489728,FJ616427, identities 99.6,99.3,99.3,97.1, taxonomy Chromis_atrilobata,Chromis_atrilobata,Chromis_atrilobata,Chromis_multilineata, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata.	asv.17_EE0207	EE0207
7781	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontidae	Canthigaster	Canthigaster	urn:lsid:marinespecies.org:taxname:126238	genus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster_janthinoptera, confidences 1;1;1;1;1;1;0.41. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AB742015,AY679664,AB742016,AB742014,AY679671,JX995921,OP035251, identities 100,100,98.5,98.5,98.5,98.1,97.7, taxonomy Canthigaster_janthinoptera,Canthigaster_jactator,Canthigaster_papua,Canthigaster_compressa,Canthigaster_solandri,Canthigaster_solandri,Canthigaster_solandri, consensus Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster.	asv.15_EE0207	EE0207
7694	present	Hugo Gante	eDNA expeditions citizen science sampling	212922	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Haemulidae	Haemulon	Haemulon maculicauda	urn:lsid:marinespecies.org:taxname:275729	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Haemulon;Haemulon_maculicauda, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ740976,JQ740971,HM778172,JQ740973,JQ741018,MF446569, identities 100,100,100,99.6,97.3,97.3, taxonomy Haemulon_maculicauda,Haemulon_flaviguttatum,Chaetodon_humeralis,Haemulon_maculicauda,Haemulon_steindachneri,Haemulon_boschmae, consensus Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Haemulon.	asv.8_EE0208	EE0208
7603	present	Hugo Gante	eDNA expeditions citizen science sampling	113396	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Scaridae	Scarus	Scarus rubroviolaceus	urn:lsid:marinespecies.org:taxname:219124	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus_rubroviolaceus, confidences 1;1;1;1;1;1;0.9. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JX026488,JX026478,EU601241,JX026489,NC_011343,JX026491,JX026490,JX026521,JX026482,EF095606, identities 99.6,99.6,99.6,99.2,99.2,98.9,98.9,98.1,98.1,98, taxonomy Scarus_aff._ghobban_EP,Scarus_compressus,Scarus_ghobban,Scarus_aff._ghobban_GBR,Scarus_rubroviolaceus,Scarus_aff._ghobban_SY,Scarus_aff._ghobban_OM,Scarus_zufar,Scarus_ferrugineus,Scarus_psittacus, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus.	asv.21_EE0239	EE0239
